Date,SPDV,SDOG,VALQ,BFOR,ESGS,QQQE,DSTL,FDRR,FDVV,FDLO,FDMO,FQAL,FVAL,FTCS,FXD,FXG,DWPP,FVC,FV,DVLU,EDOW,FXN,FXO,FXH,FXR,FEX,FTC,RNLC,FTA,FXZ,FNX,FNY,RNMC,FNK,FDL,FAD,FAB,FTXO,FTXG,FTXN,FTXH,FTXL,TDIV,FTXR,QQEW,QQXT,QTEC,RDVY,FYX,FYC,RNSC,FYT,SDVY,FXL,TUSA,RNDV,FXU,FVD,DVOL,TILT,QDEF,QDYN,QDF,QLC,FLQL,FLQM,FLQS,KNG,QDIV,DIV,GSLC,GSSC,GSEW,ISMD,DEF,DJD,PYZ,PEZ,PSL,PXI,PFI,PTH,PRN,PDP,DWAS,PTF,PUI,PBE,PKB,PXE,PBJ,PWV,PEJ,PWC,PBS,PXQ,PXJ,PJP,PSI,PSJ,PRF,PRFZ,PEY,KBWD,IUS,IUSS,RYJ,USEQ,EQAL,OMFL,OMFS,EQWL,SPGP,SPMV,RWL,SPVM,SPVU,RHS,RYE,RSP,RYF,RTM,RYT,RYU,RCD,RYH,RGI,XRLV,SPHD,SPLV,SPMO,RPV,SPHQ,RWK,EWMC,RFV,XMLV,XMMO,XMHQ,RWJ,EWSC,RZV,XSHD,XSLV,XSMO,XSHQ,XSVM,RDIV,CLRG,CSML,GRES,DGRO,HDV,ILCV,EUSA,USMV,MTUM,LRGF,QUAL,SMMV,SMLF,VLUE,DVY,JSMD,JHMC,JHMS,JHME,JHMF,JHMH,JHMI,JHML,JHMA,JHMM,JHSC,JHMT,JHMU,JPME,JPSE,JPUS,JDIV,JMIN,JMOM,JQUA,JVAL,LVHD,SQLV,RBUS,NULV,NUMV,CALF,MFUS,PSET,USMC,PSC,PY,CSM,SMDV,NOBL,REGL,FNDB,FNDX,FNDA,LEAD,QUS,XNTK,SPYD,ONEV,ONEO,ONEY,MMTM,VLU,SDY,LGLV,SMLV,DURA,MOAT,UTRN,VSDA,CFO,CFA,CSF,CDC,CDL,VSMV,CSA,CSB,USVM,ULVM,VUSE,WBIY,EPS,DHS,DLN,DON,EZM,USMF,DGRW,DES,EES,DGRS,DTD,QARP,DEUS
31/01/2007,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,21473549.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,80978373.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,26765381.00,  ,28112040.00,  ,  ,  ,  ,  ,  ,  ,13002082.00,  ,  ,334456175.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,25883526.00,  ,11860000.00,13857000.00,10763000.00,16890000.00,15684000.00,13618000.00,16720000.00,  ,  ,15685000.00,58114890.00,251774499.00,15354320.00,102346949.00,30097626.00,399032285.00,43172730.00,959690096.00,26596476.00,23242679.00,246867351.00,81844126.00,99264196.00,73077442.00,709384725.00,44384000.00,445098000.00,  ,  ,  ,  ,  ,  ,  ,  ,15498012.00,  ,  ,  ,  ,  ,7501810.00,7520881.00,2002260628.00,5194179.00,10709620.00,7435278.00,8564011.00,33841490.00,7994700.00,7874013.00,  ,  ,  ,  ,25912292.00,201190386.00,  ,  ,8974152.00,  ,142274691.00,15720721.00,  ,  ,10764979.00,  ,  ,66054916.00,  ,98659024.00,  ,  ,  ,  ,  ,  ,450600390.00,  ,  ,  ,  ,  ,  ,  ,  ,7980636362.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,185609701.00,  ,  ,  ,  ,  ,  ,218111041.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,170111425.00,225887080.00,58525199.00,  ,  ,  ,84359861.00,  ,  ,70259564.00,  ,  
28/02/2007,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,20170627.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,87429807.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,28584300.00,3886212.00,28042040.00,  ,  ,  ,  ,  ,  ,  ,14870320.00,  ,  ,297532326.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,25662394.00,  ,11923250.00,13830449.00,10661844.00,16831389.00,15341765.00,10864381.00,19345208.00,  ,  ,15584370.00,59923725.00,247169588.00,17539507.00,101485014.00,29992795.00,393666203.00,45159945.00,945257524.00,35691110.00,23413713.00,237516275.00,84090537.00,105199636.00,71966249.00,780053314.00,55332195.00,440244618.00,  ,  ,  ,  ,  ,  ,  ,  ,15309744.00,  ,  ,  ,  ,  ,7460876.00,7464784.00,2084103036.00,5093207.00,10946789.00,7479129.00,8878972.00,40429551.00,7897258.00,7847777.00,  ,  ,  ,  ,27762731.00,228635047.00,  ,  ,14525046.00,  ,147498192.00,13300043.00,  ,  ,15010270.00,  ,  ,59090484.00,  ,99893249.00,  ,  ,  ,  ,  ,  ,420974187.00,  ,  ,  ,  ,  ,  ,  ,  ,8096023614.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,196419457.00,  ,  ,  ,  ,  ,  ,234443269.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,19299520.00,198994954.00,241843148.00,67039662.00,4839530.00,  ,  ,100307365.00,9617130.00,  ,86383266.00,  ,  
31/03/2007,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,21573749.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,89580238.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,28547425.00,3896397.00,27855772.00,  ,  ,  ,  ,  ,  ,  ,15024728.00,  ,  ,286083531.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,29843088.00,  ,12315831.00,13998540.00,8246162.00,17944423.00,7680512.00,11039094.00,22400937.00,39568136.00,  ,15877743.00,63839272.00,239201456.00,17749568.00,111601484.00,30943626.00,293183880.00,47200123.00,921969645.00,33786368.00,23444367.00,254289607.00,79516549.00,109819846.00,70059434.00,898438050.00,72697587.00,441066677.00,  ,  ,  ,  ,  ,  ,  ,  ,15485122.00,  ,  ,  ,  ,  ,7605135.00,9711000.00,2165987000.00,6300000.00,9985000.00,7655000.00,13247000.00,35008000.00,9847000.00,10623000.00,  ,  ,  ,  ,26541000.00,246755359.00,  ,  ,28450000.00,  ,166665062.00,10772598.00,  ,  ,13775000.00,  ,  ,60177871.00,  ,108145431.00,  ,  ,  ,  ,  ,  ,410627668.00,  ,  ,  ,  ,  ,  ,  ,  ,8396426626.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,177010368.00,  ,  ,  ,  ,  ,  ,252003800.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,19128550.00,205874482.00,333338997.00,78332994.00,4774580.00,  ,  ,111947553.00,9452140.00,  ,89698303.00,  ,  
30/04/2007,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,31140927.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,96630255.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,18267413.00,4121416.00,17722542.00,  ,  ,  ,  ,  ,  ,  ,15769555.00,  ,  ,280987715.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,31000262.00,  ,18987858.00,17156398.00,11264331.00,19137281.00,7954378.00,57183035.00,26409333.00,92090296.00,  ,22210285.00,59579481.00,258615914.00,18698788.00,123488337.00,33313802.00,292129898.00,49472335.00,973104612.00,31305375.00,18677036.00,272455962.00,82345292.00,161886007.00,71369254.00,1055188610.00,85679876.00,439820369.00,  ,  ,  ,  ,  ,  ,  ,  ,10798477.00,  ,  ,  ,  ,  ,7862841.00,8392781.00,2284554890.00,5182171.00,5674287.00,12952932.00,9460476.00,56459544.00,8515725.00,8257714.00,  ,  ,  ,  ,43383153.00,272607579.00,  ,  ,22339736.00,  ,189794059.00,11190418.00,  ,  ,23810162.00,  ,  ,61346731.00,  ,117679862.00,  ,  ,  ,  ,  ,  ,439133940.00,  ,  ,  ,  ,  ,  ,  ,  ,8659384060.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,185851886.00,  ,  ,  ,  ,  ,  ,269058466.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,20369498.00,221336822.00,376813267.00,86427055.00,5062731.00,  ,  ,117587060.00,9762768.00,  ,99056216.00,  ,  
31/05/2007,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,35340891.00,2042449.00,2013280.00,  ,  ,  ,  ,  ,2115675.00,2027711.00,2028924.00,2070524.00,3051675.00,3060531.00,  ,3048145.00,2055680.00,3079128.00,  ,  ,  ,101904047.00,3076838.00,3054167.00,  ,  ,  ,  ,  ,  ,  ,18769975.00,4229577.00,18241043.00,  ,3066055.00,  ,  ,  ,  ,2143855.00,16252789.00,  ,1996773.00,281632584.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,26515167.00,  ,19984228.00,20548557.00,25721710.00,20409846.00,8258482.00,67412694.00,34531660.00,112360755.00,  ,26067949.00,57700264.00,259242371.00,16273663.00,145124989.00,33855689.00,306948988.00,55206749.00,992115232.00,46591613.00,19745229.00,321896642.00,118864296.00,161536841.00,77758791.00,1167492596.00,107122376.00,436604551.00,  ,  ,  ,  ,  ,  ,  ,  ,11164613.00,  ,  ,  ,  ,  ,7935522.00,9051322.00,2395664087.00,5309240.00,5916866.00,13316315.00,9659242.00,60743186.00,31894675.00,8730589.00,  ,  ,  ,  ,44609664.00,233412668.00,  ,  ,25038209.00,  ,200682431.00,11694304.00,  ,  ,29026697.00,  ,  ,61983490.00,  ,129443286.00,  ,  ,  ,  ,  ,  ,473663812.00,  ,  ,  ,  ,  ,  ,  ,  ,8929222315.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,186988159.00,  ,  ,  ,  ,  ,  ,281719480.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,21115305.00,242404386.00,363882856.00,100886119.00,5297629.00,  ,  ,121051555.00,10120000.00,  ,102138047.00,  ,  
30/06/2007,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,39525090.00,2005215.00,3001145.00,  ,  ,  ,  ,  ,2137638.00,1960209.00,1969411.00,1961036.00,2988726.00,5986033.00,  ,2992833.00,3066930.00,6036737.00,  ,  ,  ,97250950.00,3027539.00,2986646.00,  ,  ,  ,  ,  ,  ,  ,18782342.00,4181738.00,18571417.00,  ,3011546.00,  ,  ,  ,  ,2153198.00,15858400.00,  ,2850681.00,265788395.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,31393363.00,  ,20053362.00,17082335.00,27782243.00,27311349.00,8081761.00,65959446.00,53684458.00,140604117.00,  ,28679061.00,46548502.00,240160205.00,20340104.00,161125476.00,33231722.00,294249726.00,52555343.00,967276629.00,61725244.00,19646796.00,392581074.00,116772914.00,174954028.00,71480106.00,1190313468.00,123130744.00,406594043.00,  ,  ,  ,  ,  ,  ,  ,  ,10850019.00,  ,  ,  ,  ,  ,7713768.00,9129352.00,2373147746.00,5079976.00,5825684.00,13389859.00,9136897.00,59078394.00,36724797.00,8720911.00,  ,  ,  ,  ,43621151.00,228494712.00,  ,  ,24173924.00,  ,217899283.00,14371089.00,  ,  ,28215686.00,  ,  ,62746158.00,  ,129315305.00,  ,  ,  ,  ,  ,  ,460051008.00,  ,  ,  ,  ,  ,  ,  ,  ,8540495269.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,188810872.00,  ,  ,  ,  ,  ,  ,275319070.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,20652984.00,239258682.00,362676403.00,96383878.00,15534676.00,  ,  ,117483001.00,9985417.00,  ,93055916.00,  ,  
31/07/2007,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,37134862.00,1882826.00,2866486.00,  ,  ,  ,  ,  ,5184487.00,1790961.00,1948532.00,4718319.00,2868359.00,5844558.00,  ,5669242.00,3025087.00,5715445.00,  ,  ,  ,91529983.00,8818098.00,2795391.00,  ,  ,  ,  ,  ,  ,  ,18688240.00,4146289.00,19665044.00,  ,5660426.00,  ,  ,  ,  ,2148936.00,15098798.00,  ,2756213.00,221167913.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,30101875.00,  ,26239999.00,18690001.00,16200000.00,33049999.00,7317000.00,64285002.00,61619999.00,146914000.00,  ,29920001.00,43872240.00,233479988.00,25350000.00,153572994.00,31140999.00,275287609.00,58956001.00,918745028.00,65108000.00,19360001.00,444887990.00,110714998.00,180575995.00,67095000.00,1181064970.00,121219997.00,360704004.00,  ,  ,  ,  ,  ,  ,  ,  ,10620000.00,  ,  ,  ,  ,  ,7417696.00,8990068.00,2368330489.00,4652723.00,8525439.00,13002231.00,8762435.00,47954869.00,35410683.00,8665997.00,  ,  ,  ,  ,46182858.00,202919998.00,  ,  ,22647965.00,  ,242634002.00,13690000.00,  ,  ,25936145.00,  ,  ,60418002.00,  ,119951996.00,  ,  ,  ,  ,  ,  ,417574609.00,  ,  ,  ,  ,  ,  ,  ,  ,7949118468.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,192688988.00,  ,  ,  ,  ,  ,  ,261314814.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,29942940.00,231632349.00,363051893.00,98707785.00,19468391.00,  ,  ,105101355.00,13735793.00,  ,98343043.00,  ,  
31/08/2007,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,46641220.00,1877930.00,2886289.00,  ,  ,  ,  ,  ,5086964.00,1770616.00,3965820.00,4639382.00,5734157.00,5888982.00,  ,5625690.00,3028675.00,5732720.00,  ,  ,  ,82041267.00,8903511.00,2781523.00,  ,  ,  ,  ,  ,  ,  ,19205960.00,4293655.00,19989044.00,  ,5702671.00,  ,  ,  ,  ,4278196.00,13082996.00,  ,2793254.00,211776842.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,27656531.00,  ,29648808.00,15949140.00,16228554.00,36148376.00,9901284.00,74480588.00,59531560.00,146553820.00,  ,35493406.00,37045080.00,229355025.00,17622612.00,140403120.00,33450440.00,257338496.00,54600517.00,870378964.00,60840117.00,25131444.00,407745000.00,110766423.00,188745366.00,66327710.00,1190477899.00,117219564.00,346933496.00,  ,  ,  ,  ,  ,  ,  ,  ,10705632.00,  ,  ,  ,  ,  ,7589557.00,8910775.00,2207900473.00,4669170.00,8417912.00,13035816.00,8899494.00,42873805.00,35777663.00,8626003.00,  ,  ,  ,  ,44352199.00,194598570.00,  ,  ,22716992.00,  ,271019644.00,16356618.00,  ,  ,25359073.00,  ,  ,59250279.00,  ,115628416.00,  ,  ,  ,  ,  ,  ,371290966.00,  ,  ,  ,  ,  ,  ,  ,  ,8011091230.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,205609662.00,  ,  ,  ,  ,  ,  ,259401278.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,40442180.00,217496180.00,337134100.00,100367830.00,26775990.00,  ,  ,114593500.00,18492820.00,  ,97333950.00,  ,  
30/09/2007,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,47600668.00,1869518.00,2984071.00,  ,  ,  ,  ,  ,5427006.00,1814849.00,4101255.00,4737072.00,8827620.00,6157046.00,  ,5688246.00,3235324.00,5843762.00,  ,  ,  ,81772920.00,6163889.00,5597899.00,  ,  ,  ,  ,  ,  ,  ,22297773.00,2232098.00,24214296.00,  ,5747437.00,  ,  ,  ,  ,4475501.00,13676477.00,  ,2865494.00,211316716.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,28649935.00,  ,35122119.00,15896720.00,16658978.00,34251539.00,12705047.00,94126490.00,41190313.00,178425956.00,  ,38813503.00,36177161.00,245415193.00,33793288.00,152497961.00,39510168.00,266658294.00,34427410.00,855210049.00,44622549.00,23907066.00,447641489.00,92830821.00,185361100.00,67901416.00,1212925380.00,124382891.00,325890067.00,  ,  ,  ,  ,  ,  ,  ,  ,13937819.00,  ,  ,  ,  ,  ,7768047.00,9598819.00,2220676053.00,7137874.00,8819274.00,13323052.00,6040345.00,35490415.00,25666571.00,8866180.00,  ,  ,  ,  ,44509639.00,220564367.00,  ,  ,20911976.00,  ,316181508.00,16776364.00,  ,  ,22680923.00,  ,  ,63721402.00,  ,116746821.00,  ,  ,  ,  ,  ,  ,376316623.00,  ,  ,  ,  ,  ,  ,  ,  ,7811701966.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,229190328.00,  ,  ,  ,  ,  ,  ,255678154.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,41825159.00,215181242.00,345900102.00,107095510.00,27134925.00,  ,  ,127193435.00,18392526.00,  ,99582848.00,  ,  
31/10/2007,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,50931900.00,1882159.00,3012008.00,  ,  ,  ,  ,  ,5489518.00,1744275.00,4046821.00,4840180.00,8834584.00,9408351.00,  ,5603008.00,3350863.00,5856379.00,  ,  ,  ,74717415.00,6278747.00,5504402.00,  ,  ,  ,  ,  ,  ,  ,31444613.00,2299569.00,26246048.00,  ,5715439.00,  ,  ,  ,  ,4604282.00,14014740.00,  ,2918078.00,198628075.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,31983123.00,  ,40225762.00,5425070.00,16895795.00,35983581.00,13011154.00,98432179.00,42046948.00,202718919.00,  ,40578527.00,38158626.00,255726105.00,30176463.00,167182406.00,31750855.00,267623601.00,30649017.00,853803410.00,42855693.00,25010422.00,438401692.00,93467855.00,144669435.00,60335803.00,1247357210.00,133322216.00,288605138.00,  ,  ,  ,  ,  ,  ,  ,  ,14259079.00,  ,  ,  ,  ,  ,7902106.00,10121567.00,2192881905.00,6999820.00,8913473.00,19312010.00,6228486.00,28927931.00,17382588.00,8905247.00,  ,  ,  ,  ,39634865.00,212224312.00,  ,  ,21457628.00,  ,354435168.00,17051810.00,  ,  ,22426304.00,  ,  ,67939515.00,  ,114699281.00,  ,  ,  ,  ,  ,  ,345581474.00,  ,  ,  ,  ,  ,  ,  ,  ,7656424168.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,247884861.00,  ,  ,  ,  ,  ,  ,242431384.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,47744990.00,185533511.00,348792184.00,113498222.00,32479619.00,  ,  ,118969955.00,18436078.00,  ,103491577.00,  ,  
30/11/2007,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,50010089.00,1774819.00,2966255.00,  ,  ,  ,  ,  ,5365436.00,1644010.00,4091199.00,4805119.00,8558254.00,9228380.00,  ,5365441.00,3194675.00,8558254.00,  ,  ,  ,68947399.00,6076549.00,7857451.00,  ,  ,  ,  ,  ,  ,  ,29192109.00,2186893.00,23639043.00,  ,5349318.00,  ,  ,  ,  ,4282921.00,13388528.00,  ,2873509.00,189871228.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,27906611.00,  ,37835290.00,17378668.00,16690456.00,33806288.00,15262784.00,97925776.00,30860970.00,198301623.00,  ,38438301.00,37789881.00,255223747.00,27479490.00,153927538.00,32482184.00,261139540.00,25064539.00,783563480.00,38873290.00,19884226.00,369934386.00,90569986.00,92083918.00,56071473.00,1035631667.00,118630899.00,263114062.00,  ,  ,  ,  ,  ,  ,  ,  ,13837825.00,  ,  ,  ,  ,  ,7979418.00,9667833.00,1892243236.00,6486233.00,8502726.00,17608247.00,6175795.00,16451404.00,17307215.00,8630706.00,  ,  ,  ,  ,34450050.00,198275006.00,  ,  ,15160593.00,  ,361865298.00,16343894.00,  ,  ,23692714.00,  ,  ,61294917.00,  ,105722351.00,  ,  ,  ,  ,  ,  ,303428651.00,  ,  ,  ,  ,  ,  ,  ,  ,7306421669.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,257524588.00,  ,  ,  ,  ,  ,  ,229100953.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,51005889.00,170070567.00,255150776.00,107770833.00,30616148.00,  ,  ,110853093.00,17009680.00,  ,99162265.00,  ,  
31/12/2007,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,61516589.00,1699200.00,2861907.00,  ,  ,  ,  ,  ,5755516.00,1576204.00,1576204.00,4861036.00,13291109.00,9196989.00,  ,5230686.00,3315902.00,5616195.00,  ,  ,  ,64649688.00,6080108.00,7731681.00,  ,  ,  ,  ,  ,  ,  ,30910790.00,2118541.00,23650043.00,  ,5309514.00,  ,  ,  ,  ,4239884.00,13291109.00,  ,911479.00,180149752.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,27129989.00,  ,38476022.00,16558084.00,16378144.00,36034169.00,20012892.00,102245246.00,30863125.00,316739063.00,  ,40882639.00,37506098.00,243064720.00,21856995.00,157311579.00,33881020.00,269020488.00,18942455.00,771211121.00,37149069.00,19779339.00,396440266.00,89251890.00,89854165.00,56068721.00,980558376.00,122800220.00,251105585.00,  ,  ,  ,  ,  ,  ,  ,  ,22215409.00,  ,  ,  ,  ,  ,7832325.00,17130383.00,1684472358.00,6117614.00,8365202.00,22584771.00,6111943.00,15551772.00,16906504.00,8421706.00,  ,  ,  ,  ,36338828.00,217599498.00,  ,  ,14764820.00,  ,441792260.00,18930184.00,  ,  ,20031255.00,  ,  ,61282818.00,  ,95965901.00,  ,  ,  ,  ,  ,  ,290783735.00,  ,  ,  ,  ,  ,  ,  ,  ,6912578877.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,266255278.00,  ,  ,  ,  ,  ,  ,234278010.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,55789510.00,143749680.00,246305170.00,93915390.00,32422180.00,  ,  ,92230110.00,16812780.00,  ,96648190.00,  ,  
31/01/2008,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,67017384.00,1653859.00,2659066.00,  ,  ,  ,  ,  ,5271173.00,1567481.00,3857322.00,4379811.00,10762573.00,11168876.00,  ,7864344.00,3082663.00,7961322.00,  ,  ,  ,67925092.00,5524046.00,7701744.00,  ,  ,  ,  ,  ,  ,  ,28421188.00,1999204.00,15176038.00,  ,7617001.00,  ,  ,  ,  ,3701986.00,10358310.00,  ,1684181.00,169096724.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,23269334.00,  ,35942643.00,13914798.00,20640343.00,32266542.00,19198518.00,129533113.00,26376203.00,287631598.00,  ,35598455.00,36880000.00,221996000.00,15507000.00,147420000.00,50208000.00,249873000.00,15040000.00,690261000.00,38831000.00,14535000.00,334740000.00,108562000.00,70320000.00,45630000.00,899523792.00,120168000.00,235417000.00,  ,  ,  ,  ,  ,  ,  ,  ,23142929.00,  ,  ,  ,  ,  ,7289595.00,15150673.00,1404305638.00,6071994.00,8013421.00,20353748.00,5637294.00,23663225.00,16456510.00,7935060.00,  ,  ,  ,  ,37151401.00,186966000.00,  ,  ,15000513.00,  ,385029000.00,22523002.00,  ,  ,22726696.00,  ,  ,55930000.00,  ,86968000.00,  ,  ,  ,  ,  ,  ,274163302.00,  ,  ,  ,  ,  ,  ,  ,  ,6521816218.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,241860906.00,  ,  ,  ,  ,  ,  ,251510130.00,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,53269820.00,139749350.00,238886100.00,92067440.00,31295800.00,  ,  ,85236380.00,16244650.00,  ,94031630.00,  ,  
